,Recipe,step-1,trange-1,step-2,trange-2,step-3,trange-3,step-4,trange-4,step-5,trange-5,step-6,trange-6,step-7,trange-7,step-8,trange-8,step-9,trange-9,step-10,trange-10,step-11,trange-11,step-12,trange-12,step-13,trange-13,step-14,trange-14,step-15,trange-15,step-16,trange-16,step-17,trange-17,step-18,trange-18,step-19,trange-19,step-20,trange-20,step-21,trange-21,step-22,trange-22,step-23,trange-23,step-24,trange-24,step-25,trange-25,step-26,trange-26,step-27,trange-27,step-28,trange-28,step-29,trange-29,step-30,trange-30,step-31,trange-31,step-32,trange-32,step-33,trange-33,step-34,trange-34,step-35,trange-35,step-36,trange-36,step-37,trange-37,step-38,trange-38,step-39,trange-39,step-40,trange-40,step-41,trange-41,step-42,trange-42,step-43,trange-43,step-44,trange-44,step-45,trange-45,step-46,trange-46,step-47,trange-47,step-48,trange-48,step-49,trange-49,step-50,trange-50,step-51,trange-51,step-52,trange-52
0,100-layer-giant-crepe-cake,prepare the crepe batter in 2 separate batches.,"-1,-1","in a very large bowl, whisk together 12 cups (1.5 kg) of flour, ½ cup (100 g) of sugar, and 2 teaspoons of salt.","14,81",create a well in the center and add 24 eggs.,"82,100",stir together vigorously with a large wooden spoon until combined.,"101,134",add 1 cup (240 ml) of milk and continue to stir vigorously until combined.,"135,182",add 1½ cups (345 g) of the melted butter.,"183,194",stir until combined.,"195,211","gradually add 14 more cups (3.3 l) of milk to the batter, stirring well after each addition.","212,240","once the batter has loosened a bit, switch from the wooden spoon to a heavy duty whisk.","241,245",whisk vigorously to remove any clumps.,"246,268","once the milk is incorporated and there are no more lumps, whisk in 1 cup (240 ml) of water and 2 tablespoons of vanilla.","269,320",place the batter in the fridge to rest for 1 hour.,"-1,-1",repeat steps 1-7 to prepare the second batch of batter.,"321,337",heat a large round electric griddle to 375˚f (190˚c).,"-1,-1",pour ½ cup (120 ml) of batter onto the heated griddle and swirl evenly to coat.,"338,406",fill in any gaps with extra batter.,"-1,-1","cook for approximately 2 minutes, until the crepe begins to lightly brown on the bottom.","407,415",flip the crepe and cook for another minute on the other side.,"416,434",remove from the pan and set aside to cool.,"435,446",repeat 99 more times.,"447,475",this will take approximately 5 hours.,"-1,-1","place the completed crepes in stacks of 10 and store, covered, in the fridge until ready to assemble the cake.","481,484","make the vanilla pastry cream: in a large stock pot set over medium heat, add the egg yolks, milk, cream, sugar, salt, and cornstarch.","485,541",whisk vigorously to combine.,"542,552",whisk constantly until the mixture thickens significantly and bubbles just begin to burst on the surface.,"553,584",you do not want to let the mixture come to a full boil.,"-1,-1",this will take approximately 10-15 minutes.,"-1,-1",remove the pot from the heat and add the butter and vanilla.,"593,641",stir until fully incorporated.,"-1,-1",repeat to make the other flavors of pastry cream.,"642,674","mix in each flavoring while the cream is still warm, after incorporating the butter.","-1,-1",pour the cream onto a baking sheet lined with plastic wrap.,"675,706",this will ensure the custard cools safely and quickly.,"-1,-1","cover with more plastic wrap, ensuring the plastic touches the surface to prevent a skin from forming.","-1,-1","immediately place in the fridge to cool and set, overnight.","707,711","to assemble the crepe cake, place 1 crepe on a large cutting board or baking sheet (you will need to be able to transfer the cake to and from the freezer).","712,733",spread about ½ cup (110 g) of the cooled pastry cream (flavor of your choice) evenly over the crepe.,"763,763",place another crepe directly on top and spread with more pastry cream.,"764,773",repeat until you have 25 crepes stacked with the first filling.,"774,798",transfer the assembled cake to the freezer to chill for 15 minutes between flavors.,"799,806","repeat with each flavor of pastry cream, layering 25 crepes with each flavor filling.","807,913",make sure to freeze the cake for 15 minutes after every 25 layers.,"-1,-1","once assembled, freeze the cake for 30 minutes to set and firm up.","914,921","dust the top with powdered sugar, then slice and serve.","966,1000",sticking a wooden dowel into each slice will help the cake keep its shape.,"1001,1016",,,,,,,,,,,,,,
1,100-layer-lasagna,lay down about 6 feet (1.8 meters) of tinfoil on a flat surface.,"14,32","place place 4 clusters of 2 lasagna noodles towards the left half of the foil sheet, leaving about a ½-inch (1 cm) gap in between each cluster.","33,53","fold the right half of foil over the noodles, pressing flat.","54,66","to help you see where the noodles are, run your finger along the edges of the noodles to create a rough outline in the foil.","67,95","fold the top and bottom flaps of foil over, creasing and pressing flat.","96,101","flip the foil sheet onto the table so that it’s now standing, then arrange into a square box, using the 4 groups of noodles as a visual guide.","102,114","fold and crease over any excess foil to join the ends together, then set aside.","-1,-1","in a large pot, melt the butter over medium heat.","115,131","whisk in the flour, cooking until the mixture reaches a light golden color.","132,157","slowly drizzle in the milk and bring to a boil, whisking constantly until smooth.","158,190","mix in salt, pepper, and nutmeg.","191,204",bring to a boil.,"205,221",transfer the béchamel to a large bowl and press plastic wrap onto the surface of the sauce to prevent a skin from forming.,"-1,-1",set aside.,"-1,-1",heat oil in a very large pot over high heat.,"222,229","once the oil begins to shimmer, add the onions, carrots, and celery and cook until the vegetables have started to sweat but aren’t browning.","230,255",add in the ground beef and use a wooden spoon or spatula to break up the meat into small pieces.,"256,281","cook the beef, stirring occasionally, until half of the liquid has evaporated.","-1,-1","add in the tomato sauce, tomato paste, chicken stock, salt, and pepper, stirring to combine evenly and breaking up any last lumps.","282,356","turn down the heat to low, and simmer, covered, for about 2 hours.","357,394",preheat oven to 350°f (180°c).,"-1,-1","to assemble, line a greased 9x9-inch (23x23-cm) square baking pan with 2 sheets of foil that extend over the sides.","395,418",spread a thin layer of béchamel on the lined baking pan and top with 2 lasagna noodles.,"419,442","spread a thin layer of meat sauce evenly across the noodles, followed by a thin layer of béchamel.","443,474","repeat the layering process, following the order of: 2 noodles, meat sauce, and béchamel.","475,546",alternate the direction of the lasagna sheets after every layer.,"-1,-1","after 50 layers, place the foil box over the lasagna, helping it stay upright and stable.","547,567",continue with the layering process until the 99th layer.,"568,655","sprinkle parmesan on top, then cover the whole lasagna with foil.","656,720","bake for about 1½ hours, uncovering the foil halfway, until the top is a deep golden brown.","721,735","cool for at least 2 hours, then carefully lift out the lasagna with the foil sleeves onto a large cutting board.","736,742","peel away the foil walls, then sprinkle the top of the lasagna generously with chives.","743,784",cut and serve.,"-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11-herbs-and-spices-fried-chicken,beat the eggs into the buttermilk.,"12,25",add the chicken pieces to the buttermilk mixture and chill for an hour.,"27,53","in a large mixing bowl, mix the flour with all the herbs and spices.","54,115","coat the soaked chicken pieces in the herbed flour mixture, shaking off any excess.","116,139","heat oil in a large sauce pan to 325˚f(170°c), then turn to low heat.","-1,-1",fry the chicken in batches for 15 minutes until the chicken is cooked and the skins turn golden brown.,"140,177",transfer to a paper towel-lined plate.,"178,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12-layer-turkey-pesto-panini-bread-bowl,preheat the oven to 400°f (200°c).,"-1,-1","make the pesto: in a food processor, combine the basil, garlic, pine nuts, and olive oil.","40,64","blend for 30 seconds, or until thick and saucy.","65,83","add the parmesan and salt and blend for another 30 seconds, or until thoroughly combined.","84,114",cut the top off the loaf of bread.,"115,135","use a serrated knife to cut a circle in the center of the bread, then use a large spoon to scoop out the inside.","136,173",try to keep bread in one piece.,"174,176",use a rolling pin to roll the excess bread into one flat piece of bread.,"177,202","spread melted butter on both side of the rolled out bread and bake for 10 minutes, or until golden brown.","203,229",remove the toasted bread from the oven.,"230,235",assemble the sandwich: place bread bowl in an oven-safe pan.,"236,238","spread pesto on the bottom of the inside of the bread bowl, then layer in half of the mozzarella slices, 4 slices of tomatoes, 5 slices of turkey, and 4 chopped slices of bacon.","239,297",top with the toasted bread and brush with pesto.,"298,303","add the remaining bacon, turkey, tomato, and cheese.","304,315","finally, spread pesto on the bottom lid of the bread and over the cheese.","316,335",place the lid of bread on top of it and then press down with a heavy oven-safe pan.,"336,344","bake for 20 minutes, or until golden brown.","353,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,16-layer-no-bake-smores-cake,"in a large heatproof bowl, pour the hot heavy cream over the semisweet chocolate chips.","24,38","let stand for 30 seconds, then whisk together for 1 minute, or until thick and smooth.","39,64",place 1 cup (85 g) of marshmallow fluff in a medium heatproof bowl and place the remaining fluff into a separate medium heatproof bowl.,"65,69",add a tablespoon of milk to the bowl with 1 cup (85 g) of fluff and the remaining 2 tablespoons milk to the bowl with the remaining fluff.,"70,77",microwave each bowl of fluff for 15 seconds.,"78,83",remove the bowls from the microwave and use a fork to stir the milk into the fluff until it is thick and smooth.,"84,109",cover the bowl with less fluff and store in the fridge – it will be used later for decoration.,"110,124",line a 5x8-inch (13x20cm) loaf pan with parchment paper and place a row of graham crackers on the bottom of the pan.,"136,146",pour a thin layer of the marshmallow fluff over the graham crackers and use a spoon or spatula to spread the mixture evenly.,"147,164","place another row of graham crackers on top of the fluff, then pour a thin layer of the chocolate ganache over the crackers and use a spoon or spatula to spread an even layer.","165,198",repeat three more times.,"199,208",cover and chill in the fridge overnight.,"209,213",remove the cake and reserved marshmallow fluff from the fridge.,"-1,-1",use the parchment to lift the cake out of the loaf pan.,"214,255","microwave the leftover marshmallow fluff mixture for 15 seconds, then use a spatula to spread the fluff over the cake in an even layer.","256,284",optional: use a small kitchen torch to gently toast the marshmallow topping.,"285,317",sprinkle crumbled graham cracker and chocolate chunks over the top of the cake.,"318,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18-inches-long-ham-and-cheese-swirl-croissant,lightly flour a clean work surface.,"24,34",flour a rolling pin and roll out each puff pastry sheet to flatten the seams.,"35,74",lay the sheets 2 by 2.,"-1,-1",make a diagonal cut across the 2 bottom sheets of puff pastry from the lower right corner to the midpoint on the left side of the lower left sheet.,"75,83",make another diagonal cut across the 2 top sheets of puff pastry from the upper right corner to the midpoint on the left side of the upper left sheet.,"84,88","holding the bottom pieces together, rotate clockwise 180˚ and up, so that the left side of the bottom strip meets the left side of the lower middle strip.","89,102","holding the top pieces together, rotate counterclockwise 180˚ and down, so that the left side of the top strip meets the left side of the up middle strip.","103,111","seal the seams by brushing a bit of egg wash where the pieces of pastry meet, overlapping the pieces slightly, and pressing together.","112,187",preheat the oven to 425°f (220°c).,"-1,-1",line a baking sheet with parchment paper.,"-1,-1",arrange the cheese slices in a single layer across the lower portion of the triangle.,"188,198",top with a single layer of ham slices.,"199,210",roll up the puff pastry from the base of the triangle to the top point.,"211,245",place the croissant on the prepared baking sheet and cover with aluminum foil.,"246,276",bake for 45 minutes,"277,283","remove the croissant from the oven, take off the foil, and brush the croissant with egg wash.","284,336","bake for another 1 hour and 15 minutes, until the croissant is golden brown.","337,342","let cool for 20 minutes, then slice and serve.","343,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2-1-2-hour-tomato-sauce,"in a pot over medium heat, add the olive oil and garlic.","1,18","cook for about 2 minutes or until fragrant, but not browned.","19,26","add the tomatoes with their juice, and crush with the back of a spoon.","27,77","add the onion and salt, and stir occasionally.","78,118","bring to a boil, then reduce to a simmer for an hour.","119,133","discard the garlic and onion, then puree to the desired consistency with a food mill or immersion blender.","134,206","transfer the sauce back to a pot and add the bay leaf, dried oregano, and dried basil.","207,287",bring to a simmer for about 90 minutes or until the desired thickness.,"288,297","discard the bay leaf, add the fresh basil and, to taste, salt, pepper, and sugar.","298,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2-easy-make-ahead-school-lunches,freeze the juice boxes or water bottles to use as lunch-box cool packs.,"-1,-1",thinly slice the apple and place in a medium bowl with the water and lemon juice to prevent browning.,"1,65",cut the cheese slices into thirds.,"67,85",cut the bread slices into quarters.,"86,113","to quickly cut the tomatoes and grapes, place between the bottoms of two plates and slice horizontally.","115,186",lay out 4 slices of turkey breast.,"187,198","place a piece of cheese and an apple slice on the upper half of each one, then wrap the turkey around them, tucking the ends underneath.","199,246","serve with half the grapes, half the cherry tomatoes, and crackers.","247,266",slice the 4 remaining turkey slices into quarters.,"268,282","layer the bread, turkey, cheese, and remaining cherry tomatoes on the skewers.","283,325",serve with remaining grapes and apple slices.,"326,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2-ingredient-chocolate-cake,preheat the oven to 325˚f (170˚c).,"-1,-1","place the chocolate in a microwave-safe bowl and melt completely, about 1 minute.","41,69",separate the egg yolks and egg whites.,"90,114","using a hand mixer, whisk the whites until soft peaks form.","116,138","add the yolks, one by one, into the bowl of chocolate, whisking to combine.","160,211","using a rubber spatula, gently fold ⅓ of the whipped egg whites into the yolk and chocolate mixture.","212,245","repeat with the remaining egg whites, adding ⅓ at a time.","-1,-1",pour the batter in a greased 6-inch (15 cm) cake mold.,"246,275",bake for 30 minutes.,"276,283","once the cake is cool to the touch, gently invert it onto a plate.","284,285","optional: sprinkle with powdered sugar, slice and serve top with ice cream.","286,360",serve with seasonal fruit.,"-1,-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2-ingredient-chocolate-souffle,preheat the oven to 375˚f (190˚c).,"-1,-1",separate the egg yolks from the egg whites and place into two bowls.,"57,83",mix the chocolate hazelnut spread into the bowl with the egg yolks.,"84,126","in the second bowl, whisk 2 egg whites until stiff peaks form.","131,167",fold ⅓ of the whipped egg whites into the chocolate/egg yolk mixture until fully incorporated.,"168,190","add the remaining egg whites to the mixture and fold gently, but thoroughly, until the mixture is smooth.","191,232",pour the mixture into a greased ramekin.,"235,264","clean the rims so the soufflé rises evenly, and bake for 15-17 minutes.","265,282",serve immediately.,"283,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
